Rank,Decile,Zip Code,Borough,Accident Count,Accident Likelihood
1,10,11207.0,Brooklyn,1626,2.66
2,10,11236.0,Brooklyn,1125,1.84
3,10,11208.0,Brooklyn,1053,1.72
4,10,11234.0,Brooklyn,963,1.58
5,10,11201.0,Brooklyn,955,1.56
6,9,11203.0,Brooklyn,949,1.55
7,9,11212.0,Brooklyn,911,1.49
8,9,11220.0,Brooklyn,890,1.46
9,9,11226.0,Brooklyn,880,1.44
10,8,11206.0,Brooklyn,845,1.38
11,8,11213.0,Brooklyn,829,1.36
12,8,11235.0,Brooklyn,805,1.32
13,8,11211.0,Brooklyn,769,1.26
14,7,11233.0,Brooklyn,745,1.22
15,7,11221.0,Brooklyn,735,1.2
16,7,11214.0,Brooklyn,726,1.19
17,7,11216.0,Brooklyn,637,1.04
18,6,11222.0,Brooklyn,637,1.04
19,6,11223.0,Brooklyn,623,1.02
20,6,11217.0,Brooklyn,592,0.97
21,6,11237.0,Brooklyn,568,0.93
22,5,11215.0,Brooklyn,565,0.92
23,5,11230.0,Brooklyn,555,0.91
24,5,11218.0,Brooklyn,547,0.89
25,5,11238.0,Brooklyn,542,0.89
26,4,11229.0,Brooklyn,541,0.89
27,4,11204.0,Brooklyn,531,0.87
28,4,11205.0,Brooklyn,526,0.86
29,4,11232.0,Brooklyn,522,0.85
30,3,11219.0,Brooklyn,483,0.79
31,3,11225.0,Brooklyn,472,0.77
32,3,11210.0,Brooklyn,451,0.74
33,3,11231.0,Brooklyn,446,0.73
34,2,11209.0,Brooklyn,423,0.69
35,2,11228.0,Brooklyn,323,0.53
36,2,11249.0,Brooklyn,319,0.52
37,2,11224.0,Brooklyn,318,0.52
38,1,11239.0,Brooklyn,235,0.38
39,1,11385.0,Brooklyn,5,0.01
40,1,11421.0,Brooklyn,5,0.01
41,1,11251.0,Brooklyn,1,0.0
42,1,11414.0,Brooklyn,1,0.0
